Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Belgium,2024.0,SPO-BELLD01_00008_100,BELLD01,5.00485,51.10999,20.0,rural,industrial,STA-BELLD01
Belgium,2024.0,SPO-BELLD02_00008_100,BELLD02,5.02167,51.12137,22.0,rural,industrial,STA-BELLD02
Belgium,2024.0,SPO-BELR833_00005_100,BELR833,4.36217,51.32771,5.0,rural,industrial,STA-BELR833
Belgium,2024.0,SPO-BELSZ02_00001_100,BELSZ02,4.51218,50.91302,15.0,rural,industrial,STA-BELSZ02
Belgium,2024.0,SPO-BENAL08_00008_100,BENAL08,4.38011,51.21575,0.0,urban,traffic,STA-BENAL08
Belgium,2024.0,SPO-BENAT20_00008_100,BENAT20,4.40074,51.20802,0.0,urban,traffic,STA-BENAT20
Belgium,2024.0,SPO-BENAT29_00008_100,BENAT29,4.39956,51.19502,0.0,urban,traffic,STA-BENAT29
Belgium,2024.0,SPO-BENAT37_00008_100,BENAT37,4.40359,51.21742,0.0,urban,traffic,STA-BENAT37
Belgium,2024.0,SPO-BENAT38_00008_100,BENAT38,4.41019,51.22719,0.0,urban,traffic,STA-BENAT38
Belgium,2024.0,SPO-BENAT39_00008_100,BENAT39,4.44004,51.21377,0.0,urban,traffic,STA-BENAT39
Belgium,2024.0,SPO-BENAT40_00008_100,BENAT40,4.41114,51.21109,0.0,urban,traffic,STA-BENAT40
Belgium,2024.0,SPO-BENAT41_00008_100,BENAT41,4.42324,51.20188,0.0,urban,traffic,STA-BENAT41
Belgium,2024.0,SPO-BENAT43_00008_100,BENAT43,4.42355,51.23315,0.0,urban,traffic,STA-BENAT43
Belgium,2024.0,SPO-BENAT45_00008_100,BENAT45,4.4333,51.22172,0.0,urban,traffic,STA-BENAT45
Belgium,2024.0,SPO-BENAT46_00008_100,BENAT46,4.43677,51.22613,0.0,urban,traffic,STA-BENAT46
Belgium,2024.0,SPO-BENAT47_00008_100,BENAT47,4.41833,51.22172,0.0,urban,traffic,STA-BENAT47
Belgium,2024.0,SPO-BENAT48_00008_100,BENAT48,4.40228,51.20141,0.0,urban,traffic,STA-BENAT48
Belgium,2024.0,SPO-BENAT49_00008_100,BENAT49,4.38416,51.18762,0.0,urban,traffic,STA-BENAT49
